,Iteration,distance,best_run,states,best_score
0,0,400,0,642,0
1,1,400,400,646,0
2,2,400,400,1014,0
3,3,400,400,1224,0
4,4,400,400,1448,0
5,5,400,400,1552,0
6,6,400,400,1709,0
7,7,400,400,1747,0
8,8,400,400,1919,0
9,9,400,400,2025,0
10,10,400,400,2062,0
11,11,400,400,2109,0
12,12,544,400,2146,0
13,13,400,544,2210,1
14,14,400,544,2229,1
15,15,400,544,2376,1
16,16,400,544,2424,1
17,17,452,544,2438,1
18,18,548,544,2472,1
19,19,400,548,2576,1
20,20,544,548,2891,1
21,21,544,548,3246,1
22,22,544,548,3282,1
23,23,544,548,3344,1
24,24,768,548,3344,1
25,25,696,768,3431,3
26,26,616,768,3662,3
27,27,916,768,3701,3
28,28,916,916,3778,4
29,29,1064,916,3890,4
30,30,400,1064,3902,5
31,31,400,1064,4284,5
32,32,400,1064,4991,5
33,33,400,1064,5152,5
34,34,400,1064,5158,5
35,35,544,1064,5558,5
36,36,460,1064,5633,5
37,37,544,1064,5653,5
38,38,448,1064,5689,5
39,39,544,1064,5710,5
40,40,592,1064,5773,5
41,41,544,1064,5876,5
42,42,716,1064,5971,5
43,43,400,1064,5980,5
44,44,400,1064,6371,5
45,45,464,1064,6390,5
46,46,400,1064,6436,5
47,47,400,1064,6765,5
48,48,400,1064,6837,5
49,49,544,1064,6874,5
50,50,616,1064,6885,5
51,51,620,1064,7139,5
52,52,400,1064,7443,5
53,53,544,1064,7613,5
54,54,616,1064,7632,5
55,55,616,1064,7633,5
56,56,544,1064,7643,5
57,57,692,1064,7660,5
58,58,544,1064,7675,5
59,59,544,1064,7685,5
60,60,544,1064,7707,5
61,61,556,1064,7853,5
62,62,696,1064,8090,5
63,63,692,1064,8090,5
64,64,768,1064,8095,5
65,65,552,1064,8213,5
66,66,908,1064,8224,5
67,67,552,1064,8356,5
68,68,400,1064,8378,5
69,69,400,1064,8409,5
70,70,400,1064,8416,5
71,71,860,1064,8674,5
72,72,1064,1064,8705,5
73,73,1284,1064,8705,5
74,74,1140,1284,8707,6
75,75,544,1284,8711,6
76,76,768,1284,8745,6
77,77,400,1284,8767,6
78,78,400,1284,8784,6
79,79,544,1284,8789,6
80,80,544,1284,8790,6
81,81,544,1284,8797,6
82,82,544,1284,8800,6
83,83,468,1284,8800,6
84,84,992,1284,8896,6
85,85,696,1284,8917,6
86,86,748,1284,8918,6
87,87,560,1284,8918,6
88,88,1432,1284,8980,6
89,89,1132,1432,9027,7
90,90,2172,1432,9028,7
91,91,544,2172,9028,12
92,92,544,2172,9044,12
93,93,544,2172,9045,12
