,Iteration,distance,best_run,states,best_score
0,0,400,0,616,0
1,1,400,400,675,0
2,2,400,400,981,0
3,3,400,400,1152,0
4,4,400,400,1274,0
5,5,400,400,1349,0
6,6,400,400,1477,0
7,7,400,400,1538,0
8,8,400,400,1646,0
9,9,400,400,1675,0
10,10,400,400,1700,0
11,11,400,400,1754,0
12,12,400,400,1787,0
13,13,460,400,1806,0
14,14,400,460,1853,1
15,15,400,460,1858,1
16,16,400,460,1882,1
17,17,400,460,1902,1
18,18,400,460,1938,1
19,19,400,460,1966,1
20,20,400,460,1968,1
21,21,544,460,1977,1
22,22,400,544,2098,1
23,23,460,544,2108,1
24,24,448,544,2108,1
25,25,544,544,2145,1
26,26,464,544,2226,1
27,27,544,544,2233,1
28,28,400,544,2242,1
29,29,400,544,2307,1
30,30,544,544,2368,1
31,31,472,544,2480,1
32,32,552,544,2614,1
33,33,544,552,2729,1
34,34,472,552,2807,1
35,35,544,552,2846,1
36,36,544,552,2874,1
37,37,544,552,2977,1
38,38,544,552,3162,1
39,39,544,552,3275,1
40,40,472,552,3317,1
41,41,544,552,3355,1
42,42,544,552,3393,1
43,43,620,552,3441,1
44,44,544,620,3837,2
45,45,544,620,3952,2
46,46,544,620,4013,2
47,47,544,620,4210,2
48,48,764,620,4223,2
49,49,544,764,4282,3
50,50,544,764,4450,3
51,51,544,764,4542,3
52,52,552,764,4633,3
53,53,696,764,4637,3
54,54,620,764,4798,3
55,55,1012,764,4937,3
56,56,544,1012,5132,4
57,57,544,1012,5171,4
58,58,544,1012,5180,4
59,59,696,1012,5190,4
60,60,620,1012,5213,4
61,61,692,1012,5361,4
62,62,544,1012,5442,4
63,63,544,1012,5580,4
64,64,544,1012,5627,4
65,65,544,1012,5676,4
66,66,696,1012,5708,4
67,67,1136,1012,5748,4
68,68,544,1136,5795,5
69,69,624,1136,5841,5
70,70,548,1136,5858,5
71,71,992,1136,5874,5
72,72,828,1136,5923,5
73,73,1008,1136,5971,5
74,74,544,1136,6001,5
75,75,544,1136,6035,5
76,76,544,1136,6055,5
